Mark: DefMark, count: 30 
Model: car_0, price: 67
Model: car_1, price: 70
Model: car_2, price: 53
Model: car_3, price: 53
Model: car_4, price: 70
Model: car_5, price: 62
Model: car_6, price: 62
Model: car_7, price: 50
Model: car_8, price: 63
Model: car_9, price: 70
Model: car_10, price: 67
Model: car_11, price: 50
Model: car_12, price: 58
Model: car_13, price: 63
Model: car_14, price: 54
Model: car_15, price: 65
Model: car_16, price: 54
Model: car_17, price: 54
Model: car_18, price: 54
Model: car_19, price: 65
Model: car_20, price: 50
Model: car_21, price: 53
Model: car_22, price: 70
Model: car_23, price: 70
Model: car_24, price: 65
Model: car_25, price: 72
Model: car_26, price: 71
Model: car_27, price: 65
Model: car_28, price: 54
Model: car_29, price: 64
